TIME,GEO,UNIT,COMPENSATION,ECASE,TAXRATE,NUM
2010,Austria,Euro,25.1,"Single person without children, 50% of AW",20.43,1
2011,Austria,Euro,25.6,"Single person without children, 50% of AW",21.17,1
2012,Austria,Euro,26.5,"Single person without children, 50% of AW",21.73,1
2013,Austria,Euro,27.3,"Single person without children, 50% of AW",23.06,1
2014,Austria,Euro,27.9,"Single person without children, 50% of AW",22.81,1
2015,Austria,Euro,28.9,"Single person without children, 50% of AW",23.33,1
2016,Austria,Euro,29.3,"Single person without children, 50% of AW",21.88,1
2017,Austria,Euro,30,"Single person without children, 50% of AW",21.39,1
2018,Austria,Euro,30.9,"Single person without children, 50% of AW",21.71,1
2019,Austria,Euro,31.7,"Single person without children, 50% of AW",21.31,1
2010,Belgium,Euro,34.3,"Single person without children, 50% of AW",27.59,2
2011,Belgium,Euro,35.1,"Single person without children, 50% of AW",27.61,2
2012,Belgium,Euro,36.2,"Single person without children, 50% of AW",27.52,2
2013,Belgium,Euro,37.2,"Single person without children, 50% of AW",26.15,2
2014,Belgium,Euro,37.6,"Single person without children, 50% of AW",25.94,2
2015,Belgium,Euro,37.8,"Single person without children, 50% of AW",24.98,2
2016,Belgium,Euro,37.9,"Single person without children, 50% of AW",21.53,2
2017,Belgium,Euro,38.4,"Single person without children, 50% of AW",21.48,2
2018,Belgium,Euro,39.1,"Single person without children, 50% of AW",20.13,2
2019,Belgium,Euro,:,"Single person without children, 50% of AW",18.93,2
2010,Bulgaria,Euro,3.2,"Single person without children, 50% of AW",20.89,3
2011,Bulgaria,Euro,3.4,"Single person without children, 50% of AW",21.61,3
2012,Bulgaria,Euro,3.7,"Single person without children, 50% of AW",21.61,3
2013,Bulgaria,Euro,4,"Single person without children, 50% of AW",21.61,3
2014,Bulgaria,Euro,4.2,"Single person without children, 50% of AW",21.61,3
2015,Bulgaria,Euro,4.4,"Single person without children, 50% of AW",21.61,3
2016,Bulgaria,Euro,4.7,"Single person without children, 50% of AW",21.61,3
2017,Bulgaria,Euro,5.2,"Single person without children, 50% of AW",22.01,3
2018,Bulgaria,Euro,5.7,"Single person without children, 50% of AW",22.4,3
2019,Bulgaria,Euro,6.1,"Single person without children, 50% of AW",22.4,3
2010,Croatia,Euro,8.3,"Single person without children, 50% of AW",:,4
2011,Croatia,Euro,8.4,"Single person without children, 50% of AW",:,4
2012,Croatia,Euro,8.5,"Single person without children, 50% of AW",:,4
2013,Croatia,Euro,8.4,"Single person without children, 50% of AW",22.54,4
2014,Croatia,Euro,8,"Single person without children, 50% of AW",22.58,4
2015,Croatia,Euro,8.4,"Single person without children, 50% of AW",21.21,4
2016,Croatia,Euro,8.5,"Single person without children, 50% of AW",21.43,4
2017,Croatia,Euro,8.7,"Single person without children, 50% of AW",20,4
2018,Croatia,Euro,9,"Single person without children, 50% of AW",20,4
2019,Croatia,Euro,:,"Single person without children, 50% of AW",20,4
2010,Cyprus,Euro,14.8,"Single person without children, 50% of AW",:,5
2011,Cyprus,Euro,15,"Single person without children, 50% of AW",:,5
2012,Cyprus,Euro,15.3,"Single person without children, 50% of AW",:,5
2013,Cyprus,Euro,14.7,"Single person without children, 50% of AW",:,5
2014,Cyprus,Euro,14.2,"Single person without children, 50% of AW",7.8,5
