"TIME","GEO","UNIT","NA_ITEM","Value","Flag and Footnotes"
"2010","European Union - 27 countries (from 2020)","Euro","Compensation per employee","31,691.1",""
"2010","European Union - 27 countries (from 2020)","Euro","Compensation of employees per hour worked","20.1",""
"2010","European Union - 27 countries (from 2020)","Euro","Nominal labour productivity per person",":",""
"2010","European Union - 27 countries (from 2020)","Euro","Nominal labour productivity per hour worked",":",""
"2010","European Union - 27 countries (from 2020)","Euro","Real labour productivity per person",":",""
"2010","European Union - 27 countries (from 2020)","National currency","Compensation per employee","31,691.1",""
"2010","European Union - 27 countries (from 2020)","National currency","Compensation of employees per hour worked","20.1",""
"2010","European Union - 27 countries (from 2020)","National currency","Nominal labour productivity per person",":",""
"2010","European Union - 27 countries (from 2020)","National currency","Nominal labour productivity per hour worked",":",""
"2010","European Union - 27 countries (from 2020)","National currency","Real labour productivity per person",":",""
"2010","European Union - 27 countries (from 2020)","Purchasing power standard (PPS)","Compensation per employee","32,312.5",""
"2010","European Union - 27 countries (from 2020)","Purchasing power standard (PPS)","Compensation of employees per hour worked","20.4",""
"2010","European Union - 27 countries (from 2020)","Purchasing power standard (PPS)","Nominal labour productivity per person",":",""
"2010","European Union - 27 countries (from 2020)","Purchasing power standard (PPS)","Nominal labour productivity per hour worked",":",""
"2010","European Union - 27 countries (from 2020)","Purchasing power standard (PPS)","Real labour productivity per person",":",""
"2010","European Union - 27 countries (from 2020)","Purchasing power standard (PPS, EU27 from 2020)","Compensation per employee","31,691.1",""
"2010","European Union - 27 countries (from 2020)","Purchasing power standard (PPS, EU27 from 2020)","Compensation of employees per hour worked","20.1",""
"2010","European Union - 27 countries (from 2020)","Purchasing power standard (PPS, EU27 from 2020)","Nominal labour productivity per person",":",""
"2010","European Union - 27 countries (from 2020)","Purchasing power standard (PPS, EU27 from 2020)","Nominal labour productivity per hour worked",":",""
"2010","European Union - 27 countries (from 2020)","Purchasing power standard (PPS, EU27 from 2020)","Real labour productivity per person",":",""
"2010","European Union - 27 countries (from 2020)","Index, 2015=100","Compensation per employee",":",""
"2010","European Union - 27 countries (from 2020)","Index, 2015=100","Compensation of employees per hour worked",":",""
"2010","European Union - 27 countries (from 2020)","Index, 2020=100","Nominal labour productivity per person","100",""
"2010","European Union - 27 countries (from 2020)","Index, 2020=100","Nominal labour productivity per hour worked","100",""
"2010","European Union - 27 countries (from 2020)","Index, 2015=100","Real labour productivity per person","96.3",""
"2010","European Union - 27 countries (from 2020)","Index, 2010=100","Compensation per employee",":",""
"2010","European Union - 27 countries (from 2020)","Index, 2010=100","Compensation of employees per hour worked",":",""
"2010","European Union - 27 countries (from 2020)","Index, 2010=100","Nominal labour productivity per person",":",""
"2010","European Union - 27 countries (from 2020)","Index, 2010=100","Nominal labour productivity per hour worked",":",""
"2010","European Union - 27 countries (from 2020)","Index, 2010=100","Real labour productivity per person","100.0",""
"2010","European Union - 28 countries (2013-2020)","Euro","Compensation per employee","32,477.6",""
"2010","European Union - 28 countries (2013-2020)","Euro","Compensation of employees per hour worked","20.5",""
"2010","European Union - 28 countries (2013-2020)","Euro","Nominal labour productivity per person",":",""
"2010","European Union - 28 countries (2013-2020)","Euro","Nominal labour productivity per hour worked",":",""
"2010","European Union - 28 countries (2013-2020)","Euro","Real labour productivity per person",":",""
"2010","European Union - 28 countries (2013-2020)","National currency","Compensation per employee","32,477.6",""
"2010","European Union - 28 countries (2013-2020)","National currency","Compensation of employees per hour worked","20.5",""
"2010","European Union - 28 countries (2013-2020)","National currency","Nominal labour productivity per person",":",""
